level,code
Blue-and-white Swallow,0
Rufous-bellied Thrush,1
Bananaquit,2
Great Kiskadee,3
House Sparrow,4
Southern House Wren,5
Rock Pigeon,6
Rufous-collared Sparrow,7
Ruddy Ground Dove,8
Sayaca Tanager,9
Black-goggled Tanager,10
Black Jacobin,11
Blue Dacnis,12
Brassy-breasted Tanager,13
Cattle Tyrant,14
Chestnut-vented Conebill,15
Eared Pygmy-Tyrant,16
Variable Oriole,17
Golden-crowned Warbler,18
Golden-chevroned Tanager,19
Greenish Tyrannulet,20
Green-winged Saltator,21
Gray-headed Tody-Flycatcher,22
Lineated Woodpecker,23
Orange-headed Tanager,24
Pallid Spinetail,25
Palm Tanager,26
Rufous-browed Peppershrike,27
Rufous-capped Spinetail,28
Rufous Hornero,29
Rufous-margined Antwren,30
Sapphire-spangled Emerald,31
Social Flycatcher,32
Variable Antshrike,33
Violet-capped Woodnymph,34
White-barred Piculet,35
ground dove/Inca Dove,36
Yellow-legged Thrush,37
Shiny Cowbird,38
Sick's Swift,39
