,Unnamed: 0,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
1,1,URN:CornellLabOfOrnithology:EBIRD:OBS133113649,2024-11-18 23:34:45.92978,28285,species,avibase-849B6005,Rufous-bellied Thrush,Turdus rufiventris,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,Sao Paulo,L1340357,P,-23.5487072,-46.6385178,1965-07-12,,obsr7046,S9351155,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,,
2,2,URN:CornellLabOfOrnithology:EBIRD:OBS702870728,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-17,,obsr440131,S52046915,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,"(ainda não havia identificado a espécie, e estava tentando)",
3,3,URN:CornellLabOfOrnithology:EBIRD:OBS702870519,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-23,,obsr440131,S52046905,Historical,P62,EBIRD,,,,,1,,0,1,0,,,"(Fiz uma descrição detalhada, mas ainda não havia identificado a espécie)",
5,5,URN:CornellLabOfOrnithology:EBIRD:OBS702870233,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-27,,obsr440131,S52046876,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
6,6,URN:CornellLabOfOrnithology:EBIRD:OBS702869886,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-24,06:30:00,obsr440131,S52046854,Historical,P62,EBIRD,,,,,1,,0,1,0,,Horário aproximado,Identifiquei a espécie :-),
7,7,URN:CornellLabOfOrnithology:EBIRD:OBS702871497,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-16,,obsr440131,S52046983,Historical,P62,EBIRD,,,,,1,,0,1,0,,"Foi neste dia que comecei a fazer a lista para minha casa--1) Todo cinza, azul reflexo, bico preto, *cere* branco, olho e pés pretos (sanhaço?) [sanhaço-cinza]--2) tipo coleirinha, dorso escuro, mancha branca no olho, no alto da cabeça, ventre claro [cambacica]--3) Pardais--4) pássaro-preto (Nego) [Nego era pássaro-preto, mas suponho que seria chupim]--5) andorinha [andorinha-pequena]--6) bentevi--7) visto um sabiá Turdus rufiventris. Fugido?--8) cinza em cima, amarelo embaixo, tipo sanhaço cantor [cambacica]","(ainda não identificada,  mas as descrições são suficientes)",
8,8,URN:CornellLabOfOrnithology:EBIRD:OBS702870433,2024-11-21 17:13:00.264924,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-24,07:00:00,obsr440131,S52046892,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Horário aproximado,,
9,9,URN:CornellLabOfOrnithology:EBIRD:OBS702870520,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-23,,obsr440131,S52046905,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
11,11,URN:CornellLabOfOrnithology:EBIRD:OBS702861349,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-25,06:29:00,obsr440131,S52046300,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
13,13,URN:CornellLabOfOrnithology:EBIRD:OBS702861348,2024-11-21 17:12:59.876838,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,5,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-25,06:29:00,obsr440131,S52046300,Historical,P62,EBIRD,,,,,1,,0,1,0,,,5-6 bentevis--luta bentevi-pardal,
